YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,TOT_OUTLIER_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,TOT_PT_MNTS,INDVDL_PT_MNTS,CNCRNT_GRP_PT_MNTS,COTRT_PT_MNTS,TOT_OT_MNTS,INDVDL_OT_MNTS,CNCRNT_GRP_OT_MNTS,COTRT_OT_MNTS,TOT_SLP_MNTS,INDVDL_SLP_MNTS,CNCRNT_GRP_SLP_MNTS,COTRT_SLP_MNTS
2024,FY,NATION,IRF,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,377403,434556,5348816,24958018679,11021437293,10822889016,10796423499,361242272,15,7,78,46,54,83,7,2,5,0,1,1,2.45,2,15,28,48,11,48,53,2,3,4,17,42,74,15,22,50,34,49,46,89,95,54,27,7,40,0,1,0,0,19,0,17,1,0,5,0,0,16,24,15,261638622,223450665,36196209,1991748,260369334,224479972,33891770,1997592,59054173,55378653,3509966,165554
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,AK,STATE TOTAL,494,510,7336,70435069,16963613,16669709,14552147,3103105,21,21,75,51,49,74,*,4,2,13,*,4,1.85,*,17,19,32,7,31,33,*,3,*,22,39,69,14,18,35,26,41,36,77,91,40,23,5,53,*,*,*,*,9,0,32,*,0,3,*,0,9,30,14,294735,294174,163,398,277991,277241,0,750,73329,73056,90,183
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,AL,STATE TOTAL,6919,7764,95695,303829686,167167535,163862709,196639061,2603753,13,7,78,44,56,84,14,0,1,*,1,*,2.58,1,14,32,48,10,47,52,2,2,4,20,46,76,15,21,56,37,53,50,90,98,57,23,6,39,0,0,0,*,25,*,16,1,0,3,0,*,14,24,15,5137615,3679451,1416378,41786,5168880,3775367,1352962,40551,1038623,941566,94385,2672
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,AR,STATE TOTAL,10185,12006,140135,495887574,260441618,254243966,278520627,1299787,16,20,79,40,60,91,6,0,1,1,1,0,2.31,1,14,28,47,9,50,52,2,2,4,19,45,75,14,21,49,39,45,50,86,96,59,26,6,36,0,0,1,0,26,*,14,2,1,6,1,*,13,22,13,8041979,6310406,1639315,92258,7824938,6079521,1654635,90782,1735066,1420891,311296,2879
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,AZ,STATE TOTAL,10951,12559,150913,598928960,306600356,300565428,296801567,3999086,10,3,78,46,54,84,2,1,7,3,1,1,2.25,1,17,27,44,9,46,50,2,3,3,14,41,73,16,22,49,31,43,38,88,94,51,31,8,40,0,1,0,0,17,*,16,1,0,6,0,0,13,29,15,6563426,5604310,900914,58202,6031765,5177650,795866,58249,1471926,1336511,134402,1013
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,CA,STATE TOTAL,20523,22525,291987,2417489177,816026146,807774202,593945639,50209091,33,1,77,47,53,67,5,9,14,0,2,2,2.49,2,18,26,41,8,44,48,2,3,6,13,39,74,18,21,47,29,51,44,90,94,52,30,7,45,1,1,0,0,14,*,22,1,0,6,0,*,10,25,18,12131181,11095883,886867,148431,11574447,10647711,777409,149327,2934884,2763542,163190,8152
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,CO,STATE TOTAL,5981,6858,81994,455506453,179662057,176231585,169833998,7812272,13,7,77,48,52,88,3,1,6,0,2,1,2.11,2,19,25,43,10,47,51,3,5,4,15,34,75,15,21,44,29,35,36,81,88,43,30,8,34,0,0,1,*,17,*,15,0,0,6,0,*,14,26,21,3417063,3155923,241630,19510,3259659,2995727,244965,18967,1011516,973896,35871,1749
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,CT,STATE TOTAL,926,1021,13334,85504319,29340292,29008188,25228495,1359203,18,*,78,49,51,84,6,2,4,*,3,*,2.25,3,13,23,48,8,43,48,4,3,3,12,40,69,15,25,41,26,44,39,91,94,50,24,6,54,*,2,*,0,8,*,30,*,*,3,*,0,18,24,11,513067,488862,17780,6425,495553,468243,20070,7240,155931,149111,3685,3135
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,DC,STATE TOTAL,750,813,10961,61787549,24679228,24245236,20806373,524766,22,*,74,49,51,42,49,2,3,*,3,*,2.43,2,12,27,34,9,35,46,1,4,4,16,33,67,18,22,49,23,55,38,85,94,49,18,6,51,0,*,*,*,6,0,28,*,*,4,*,0,12,10,38,106632,105992,0,640,112153,106497,5016,640,22813,19838,2975,0
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,DE,STATE TOTAL,3744,4244,42663,145509321,101677801,99509681,97406791,948548,11,4,79,42,58,85,10,1,1,*,2,*,2.18,2,13,24,46,21,47,50,2,3,3,15,41,75,15,23,50,33,49,40,93,95,55,24,6,37,*,1,1,0,24,*,16,1,1,6,0,0,13,23,13,2198088,2020335,157558,20195,2394478,2188933,185461,20084,439955,421747,18158,50
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,FL,STATE TOTAL,40094,46797,570534,2856144064,1134052084,1112773636,1195638801,56962629,15,2,79,46,54,84,6,1,7,0,2,1,2.73,2,21,36,54,13,53,59,3,3,7,16,48,77,15,25,55,41,51,50,93,97,62,29,9,42,0,0,0,0,21,0,14,1,0,4,0,*,19,26,13,29018904,23190655,5552701,275548,29493413,24092190,5118638,282585,5928727,5501691,382185,44851
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,GA,STATE TOTAL,9179,10279,125015,530647378,249386987,246030299,258379371,9620914,12,6,78,45,55,79,17,1,1,*,1,*,2.47,1,14,30,47,10,46,50,2,2,3,17,43,72,14,22,54,34,52,49,89,97,54,24,6,41,1,1,0,*,20,*,16,1,0,3,0,*,17,26,15,6375508,5135721,1210260,29527,6558196,5473088,1053383,31725,1038529,951518,84035,2976
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,HI,STATE TOTAL,328,343,4663,16417666,10196084,10040956,7649389,116998,7,*,77,49,51,27,*,55,6,0,*,10,1.82,0,12,13,18,*,18,23,*,*,*,8,27,58,15,17,47,18,43,26,93,91,31,32,*,43,0,0,0,0,4,0,23,0,0,*,0,0,12,30,29,114010,109475,4535,0,103230,100800,2430,0,21750,21750,0,0
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,IA,STATE TOTAL,3513,3863,43420,157601580,84080287,82673452,87942561,1551894,10,17,77,50,50,94,1,1,1,*,2,*,2.21,2,13,18,41,13,44,47,2,2,2,17,40,66,13,21,48,28,43,42,87,93,46,23,7,40,1,1,*,*,7,*,16,1,0,3,1,0,12,21,36,2008261,1880506,93789,33966,2045109,1933469,77775,33865,570536,546948,22881,707
2024,FY,STATE,IRF,STATE TOTAL,STATE TOTAL,STATE TOTAL,ID,STATE TOTAL,1316,1425,17830,71745650,34644177,34023665,35513695,2451896,14,10,76,49,51,93,*,*,3,1,2,*,2.15,2,19,24,42,8,45,47,2,3,3,19,37,67,15,18,39,26,44,39,80,92,40,26,6,45,*,*,*,*,10,*,25,*,*,6,*,*,12,26,18,765657,685503,78979,1175,750955,671183,78315,1457,277507,263304,14133,70
